Search Warrant #,Type of Warrant,Date,Address Merged,Address,,,City,State,Country,
12SW4005,SEARCH,3-Jan-12,6100 S OAK PARK AVE,6100,S,OAK PARK AVE,CHICAGO,ILLINOIS,USA,Y
12SW4004,SEARCH,3-Jan-12,1300 N LOREL AVE,1300,N,LOREL AVE,CHICAGO,ILLINOIS,USA,N
12SW4001,SEARCH,3-Jan-12,500 N ST LOUIS AVE,500,N,ST LOUIS AVE,CHICAGO,ILLINOIS,USA,Y
12SW4017,SEARCH,4-Jan-12,1700 N LUNA AVE,1700,N,LUNA AVE,CHICAGO,ILLINOIS,USA,Y
12SW4013,SEARCH,4-Jan-12,5700 S THROOP ST,5700,S,THROOP ST,CHICAGO,ILLINOIS,USA,N
12SW4023,SEARCH,4-Jan-12,8800 S ESCANABA AVE,8800,S,ESCANABA AVE,CHICAGO,ILLINOIS,USA,N
12SW4025,SEARCH,4-Jan-12,800 N WALLER AVE,800,N,WALLER AVE,CHICAGO,ILLINOIS,USA,N
12SW4030,SEARCH,4-Jan-12,3000 S KILDARE AVE,3000,S,KILDARE AVE,CHICAGO,ILLINOIS,USA,N
12SW4042,SEARCH,4-Jan-12,3000 S KILDARE AVE,3000,S,KILDARE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4028,SEARCH,4-Jan-12,700 E 77TH ST,700,E,77TH ST,CHICAGO,ILLINOIS,USA,N
12SW4019,SEARCH,4-Jan-12,8800 S WOOD ST,8800,S,WOOD ST,CHICAGO,ILLINOIS,USA,N
12SW4035,SEARCH,4-Jan-12,1300 N CENTRAL AVE,1300,N,CENTRAL AVE,CHICAGO,ILLINOIS,USA,N
12SW4026,SEARCH,4-Jan-12,3100 W HARRISON ST,3100,W,HARRISON ST,CHICAGO,ILLINOIS,USA,N
12SW4037,SEARCH,5-Jan-12,700 E 111TH ST,700,E,111TH ST,CHICAGO,ILLINOIS,USA,N
12SW4064,SEARCH,5-Jan-12,8200 S EXCHANGE AVE,8200,S,EXCHANGE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4067,SEARCH,5-Jan-12,5500 W GRAND AVE,5500,W,GRAND AVE,CHICAGO,ILLINOIS,USA,N
12SW4062,SEARCH,6-Jan-12,1700 W 81ST ST,1700,W,81ST ST,CHICAGO,ILLINOIS,USA,Y
